Name,starRating,Komment,reviews.createTime,review_clean,sentiment,rating_num,YearMonth,text_len,word_count
Chris Haaze,ONE,This 'company' is a joke. Pleas people do not be fooled. Once in their web they are unapproachable and don't provide any customer support! Please think twice before even considering doing business with them..,2025-04-07 08:09:19.007,this company is a joke pleas people do not be fooled once in their web they are unapproachable and dont provide any customer support please think twice before even considering doing business with them,neg,1,2025-04,200,34
Hansi Drootdo,FIVE,"Ich beziehe in Deutschland Strom von MAXENERGY. Die Kosten für meinen Tarif sind vergleichsweise günstig und ich habe 2 Jahre Preisgarantie. Der Wechsel vom alten Stromanbieter klappte reibungslos. Das Onlineportal ist übersichtlich und einfach zu bedienen, z.B. für Verbrauchsmeldungen, oder Ändern des monatlichen Abschlags. Soweit alles prima, deshalb 5 Sterne 

(Translated by Google)
I get my electricity from MAXENERGY in Germany. The costs for my tariff are comparatively low, and I have a two-year price guarantee. Switching from my old electricity provider went smoothly. The online portal is clear and easy to use, for example, for consumption reports or changing my monthly payment. So far, everything's been great, hence 5 stars ",2025-03-31 09:41:56.570,"ich beziehe in deutschland strom von maxenergy die kosten fr meinen tarif sind vergleichsweise gnstig und ich habe 2 jahre preisgarantie der wechsel vom alten stromanbieter klappte reibungslos das onlineportal ist bersichtlich und einfach zu bedienen zb fr verbrauchsmeldungen oder ndern des monatlichen abschlags soweit alles prima deshalb 5 sterne 

translated by google
i get my electricity from maxenergy in germany the costs for my tariff are comparatively low and i have a twoyear price guarantee switching from my old electricity provider went smoothly the online portal is clear and easy to use for example for consumption reports or changing my monthly payment so far everythings been great hence 5 stars ",pos,5,2025-03,714,111
Andreea Luta,ONE,"Leider sind unsere Erfahrungen mit dem Kundenservice äußerst enttäuschend. Der Support ist größtenteils unfreundlich, wenig hilfsbereit und absolut nicht lösungsorientiert. Die aktuelle Ein-Sterne-Bewertung verdanken sie nur den wenigen Mitarbeitern, die sich zumindest bemühen.

Seit über drei Monaten haben wir ein Abrechnungsproblem, das laut Aussage des Unternehmens innerhalb von acht Wochen gelöst sein sollte. Trotz mehrfacher Nachfragen erhalten wir keine klare Auskunft, und es gibt keinerlei Rückmeldung von ihrer Seite. Dieses Verhalten wirkt äußerst unseriös.

Sobald unser Problem geklärt ist, werden wir definitiv den Netzbetreiber wechseln. Ein derart schlechter Kundenservice ist inakzeptabel.

(Translated by Google)
Unfortunately, our customer service experience has been extremely disappointing. The support is mostly unfriendly, unhelpful and absolutely not solution-oriented. The current one-star rating is only due to the few employees who at least make an effort.

We have had a billing issue for over three months that the company said should be resolved within eight weeks. Despite repeated inquiries, we have not received any clear information and there has been no response from them. This behavior seems extremely dubious.

As soon as our problem is resolved, we will definitely change the network provider. Such poor customer service is unacceptable.",2025-03-18 15:13:57.153,"leider sind unsere erfahrungen mit dem kundenservice uerst enttuschend der support ist grtenteils unfreundlich wenig hilfsbereit und absolut nicht lsungsorientiert die aktuelle einsternebewertung verdanken sie nur den wenigen mitarbeitern die sich zumindest bemhen

seit ber drei monaten haben wir ein abrechnungsproblem das laut aussage des unternehmens innerhalb von acht wochen gelst sein sollte trotz mehrfacher nachfragen erhalten wir keine klare auskunft und es gibt keinerlei rckmeldung von ihrer seite dieses verhalten wirkt uerst unseris

sobald unser problem geklrt ist werden wir definitiv den netzbetreiber wechseln ein derart schlechter kundenservice ist inakzeptabel

translated by google
unfortunately our customer service experience has been extremely disappointing the support is mostly unfriendly unhelpful and absolutely not solutionoriented the current onestar rating is only due to the few employees who at least make an effort

we have had a billing issue for over three months that the company said should be resolved within eight weeks despite repeated inquiries we have not received any clear information and there has been no response from them this behavior seems extremely dubious

as soon as our problem is resolved we will definitely change the network provider such poor customer service is unacceptable",neg,1,2025-03,1334,193
Martin Siemetsberger,ONE,"Ich habe seit gestern Morgen keinen Strom mehr, in der Zwischenzeit telefonierte ich mit etwa 15 Mitarbeitern, erhielt dabei 10 verschiedenen Gründe warum es gerade nicht geht, habe einen Lieferwunsch beim Netz Oberösterreich durchstellen lassen, nur um am Telefon erneut abgewimmelt zu werden.

(Translated by Google)
I haven't had any electricity since yesterday morning. In the meantime, I called around 15 employees, received 10 different reasons why it wasn't working at the moment, and had a delivery request put through to the Upper Austria network, only to be brushed off again on the phone.",2025-03-11 08:27:23.357,"ich habe seit gestern morgen keinen strom mehr in der zwischenzeit telefonierte ich mit etwa 15 mitarbeitern erhielt dabei 10 verschiedenen grnde warum es gerade nicht geht habe einen lieferwunsch beim netz obersterreich durchstellen lassen nur um am telefon erneut abgewimmelt zu werden

translated by google
i havent had any electricity since yesterday morning in the meantime i called around 15 employees received 10 different reasons why it wasnt working at the moment and had a delivery request put through to the upper austria network only to be brushed off again on the phone",neg,1,2025-03,582,94
Sandra Schönbuchner,ONE,"Das Unternehmen reagiert auf Reklamationen nicht schnell genug.
Es kommt nur eine Standard - Mail zurück. Ohne Erklärung wegen einer Bemühung einer raschen Aufklärung .  Zu hohen Betrag abgezogen. Warte noch immer auf eine Aufklärung

(Translated by Google)
The company does not respond to complaints quickly enough.
Only a standard email comes back. Without explanation due to an effort to quickly clarify the matter.  Too much deducted. Still waiting for clarification",2025-03-10 20:44:50.447,"das unternehmen reagiert auf reklamationen nicht schnell genug
es kommt nur eine standard  mail zurck ohne erklrung wegen einer bemhung einer raschen aufklrung   zu hohen betrag abgezogen warte noch immer auf eine aufklrung

translated by google
the company does not respond to complaints quickly enough
only a standard email comes back without explanation due to an effort to quickly clarify the matter  too much deducted still waiting for clarification",neg,1,2025-03,454,69
Rainer Bigge,FIVE,"Unschlagbar

(Translated by Google)
Unbeatable",2025-02-24 11:02:26.973,"unschlagbar

translated by google
unbeatable",pos,5,2025-02,44,5
Hans Bachinger,ONE,"Leider arbeitet das Unternehmen nicht sehr kundenfreundlich. Zuerst werden geringe laufende Zahlungen vereinbart und nach ÜBER EINEM JAHR!!! kommt die Endabrechnung mit einer hohen Summe an Nachzahlung!
NICHT ZU EMPFEHLEN!

(Translated by Google)
Unfortunately, the company is not very customer-friendly. Initially small ongoing payments are agreed and after OVER A YEAR!!! The final bill comes with a large amount of additional payment!
NOT RECOMMENDED!",2025-02-21 13:03:33.597,"leider arbeitet das unternehmen nicht sehr kundenfreundlich zuerst werden geringe laufende zahlungen vereinbart und nach ber einem jahr kommt die endabrechnung mit einer hohen summe an nachzahlung
nicht zu empfehlen

translated by google
unfortunately the company is not very customerfriendly initially small ongoing payments are agreed and after over a year the final bill comes with a large amount of additional payment
not recommended",neg,1,2025-02,437,64
Michael S.,ONE,"Endabrechnung wurde 5 Monate nach Vertragsende - trotz zahlreicher Mailanfragen - nicht durchgeführt, ignoriert und immer wieder vertröstet. Der schlechteste Service überhaupt - FINGER WEG

(Translated by Google)
The final billing was not carried out 5 months after the end of the contract - despite numerous email inquiries - and was ignored and repeatedly put off. Worst service ever - KEEP OFF",2025-02-20 20:13:24.133,"endabrechnung wurde 5 monate nach vertragsende  trotz zahlreicher mailanfragen  nicht durchgefhrt ignoriert und immer wieder vertrstet der schlechteste service berhaupt  finger weg

translated by google
the final billing was not carried out 5 months after the end of the contract  despite numerous email inquiries  and was ignored and repeatedly put off worst service ever  keep off",neg,1,2025-02,382,56
Thomas Kernmayer,FIVE,"Schnelle Abwicklung .GuterPreis.

(Translated by Google)
Fast processing. Good price.",2025-02-12 20:13:23.210,"schnelle abwicklung guterpreis

translated by google
fast processing good price",pos,5,2025-02,79,10
Marisa Müller-Kobler,FIVE,"Reibungsloser Wechsel, tolles Onlineportal und sehr guter Kundenservice - jederzeit wieder!

(Translated by Google)
Smooth change, great online portal and very good customer service - again at any time!",2025-02-10 10:42:32.577,"reibungsloser wechsel tolles onlineportal und sehr guter kundenservice  jederzeit wieder

translated by google
smooth change great online portal and very good customer service  again at any time",pos,5,2025-02,194,27
Silvia,ONE,"Mein Wechsel zu Maxenergy begründete sich aufgrund ihres schriftlichen Angebotes in welchem auch die Netz- und Abgabengebühren angeführt waren.
Die nun von meinem Netzanbieter verrechneten Gebühren sind doppelt so hoch wie die Angaben in Ihrem Wechselangebot.
Ein Verbleib beim bisherigen Anbieter wäre günstiger gewesen.
Auf Anfrage bei Ihnen hat man mir per Mail mitgeteilt, dass Sie keinen Einfluß auf die Preise des Netzanbieters hätten.
Das ist klar, aber wie können Sie einen Netz-und Abgabenpreis in ihrem schriftlichen Angebot anführen, der sich dann tatsächlich verdoppelt?
Ich sehe hier zwei Gewinner: Maxenergy und meinen Netzanbieter.
Als Verlierer bleibe ich und wahrscheinlich viele andere Kunden auf der Strecke.

Leider keine maximale Zufriedenheit.

(Translated by Google)
My switch to Maxenergy was based on their written offer, which also listed the network and charge fees.
The fees now charged by my network provider are twice as high as the information in your change offer.
It would have been cheaper to stay with the previous provider.
When I asked you, I was informed by email that you had no influence on the network provider's prices.
That's clear, but how can you include a network and duty price in your written offer that actually doubles?
I see two winners here: Maxenergy and my network provider.
As a loser, I and probably many other customers will be left behind.

Unfortunately not maximum satisfaction.",2025-02-09 18:58:18.783,"mein wechsel zu maxenergy begrndete sich aufgrund ihres schriftlichen angebotes in welchem auch die netz und abgabengebhren angefhrt waren
die nun von meinem netzanbieter verrechneten gebhren sind doppelt so hoch wie die angaben in ihrem wechselangebot
ein verbleib beim bisherigen anbieter wre gnstiger gewesen
auf anfrage bei ihnen hat man mir per mail mitgeteilt dass sie keinen einflu auf die preise des netzanbieters htten
das ist klar aber wie knnen sie einen netzund abgabenpreis in ihrem schriftlichen angebot anfhren der sich dann tatschlich verdoppelt
ich sehe hier zwei gewinner maxenergy und meinen netzanbieter
als verlierer bleibe ich und wahrscheinlich viele andere kunden auf der strecke

leider keine maximale zufriedenheit

translated by google
my switch to maxenergy was based on their written offer which also listed the network and charge fees
the fees now charged by my network provider are twice as high as the information in your change offer
it would have been cheaper to stay with the previous provider
when i asked you i was informed by email that you had no influence on the network providers prices
thats clear but how can you include a network and duty price in your written offer that actually doubles
i see two winners here maxenergy and my network provider
as a loser i and probably many other customers will be left behind

unfortunately not maximum satisfaction",neg,1,2025-02,1396,225
Massimo Endrizzi,FIVE,"Unkompliziert, zuverlässig, gute Preis-Leistung Verhältnis, super online Angebot.

(Translated by Google)
Uncomplicated, reliable, good price-performance ratio, great online offer.",2025-02-05 09:47:51.987,"unkompliziert zuverlssig gute preisleistung verhltnis super online angebot

translated by google
uncomplicated reliable good priceperformance ratio great online offer",pos,5,2025-02,166,19
Klaus Lagler,FIVE,"sehr guter Sevice, sehr guter Preis

(Translated by Google)
very good service, very good price",2025-02-03 11:18:14.773,"sehr guter sevice sehr guter preis

translated by google
very good service very good price",pos,5,2025-02,90,15
Sam Mumcu,ONE,"Hallo Max energy,

Ihr seid ein katastrophales Unternehmen. Ich weiß nicht, was eure Firmenpolitik ist, aber sie ist schrecklich; das fängt schon bei den Mitarbeitern an und hört beim obersten Management auf. Zum Glück habe ich am 1. Januar bereits bei euch gekündigt.

Wie ich sehe, sind da mehrere Opfer geworden bei Max Energy immer sind anscheinend die Kundschaft schuldig. Ihr solltet mal echt ein Seminar halten für euch intern, das wäre definitiv nicht schlecht.
Es können definitiv nicht immer die Kunden einen Fehler machen, ihr putzt euch mit euren Beschwerden E-Mail, wo keiner sich meldet.

Derzeitiger Anbieter (unserer Wasserkraft). Ich würde jeden empfehlen.

(Translated by Google)
Hello Max energy,

You are a disastrous company. I don't know what your company policy is, but it's terrible; It starts with the employees and ends with top management. Luckily, I already canceled my contract with you on January 1st.

As I see, there have been several victims at Max Energy and it always seems to be the customers who are to blame. You should really hold an internal seminar, that would definitely not be bad.
It's definitely not always the customers who can make a mistake, you just send your complaints via email where no one responds.

Current provider (of our hydropower). I would recommend everyone.",2025-01-23 22:11:57.517,"hallo max energy

ihr seid ein katastrophales unternehmen ich wei nicht was eure firmenpolitik ist aber sie ist schrecklich das fngt schon bei den mitarbeitern an und hrt beim obersten management auf zum glck habe ich am 1 januar bereits bei euch gekndigt

wie ich sehe sind da mehrere opfer geworden bei max energy immer sind anscheinend die kundschaft schuldig ihr solltet mal echt ein seminar halten fr euch intern das wre definitiv nicht schlecht
es knnen definitiv nicht immer die kunden einen fehler machen ihr putzt euch mit euren beschwerden email wo keiner sich meldet

derzeitiger anbieter unserer wasserkraft ich wrde jeden empfehlen

translated by google
hello max energy

you are a disastrous company i dont know what your company policy is but its terrible it starts with the employees and ends with top management luckily i already canceled my contract with you on january 1st

as i see there have been several victims at max energy and it always seems to be the customers who are to blame you should really hold an internal seminar that would definitely not be bad
its definitely not always the customers who can make a mistake you just send your complaints via email where no one responds

current provider of our hydropower i would recommend everyone",neg,1,2025-01,1268,214
Renate K.,FIVE,"Ích kann Maxenergy nur empfehlen! Reibungsloser und schneller Wechsel zu einem fairen Preis.

(Translated by Google)
I can only recommend Maxenergy! Smooth and quick change at a fair price.",2025-01-13 10:04:26.033,"ch kann maxenergy nur empfehlen reibungsloser und schneller wechsel zu einem fairen preis

translated by google
i can only recommend maxenergy smooth and quick change at a fair price",pos,5,2025-01,182,29
Horst Resch,FOUR,"Ich konnte einfach auf MaxEnergy umsteigen. Musste selbst beinah nichts tun. Habe somit nur ""einen"" Anbieter sowohl für Gas als auch für Strom!

(Translated by Google)
I was able to easily switch to MaxEnergy. Almost didn't have to do anything myself. This means I only have “one” provider for both gas and electricity!",2025-01-10 16:47:37.180,"ich konnte einfach auf maxenergy umsteigen musste selbst beinah nichts tun habe somit nur einen anbieter sowohl fr gas als auch fr strom

translated by google
i was able to easily switch to maxenergy almost didnt have to do anything myself this means i only have one provider for both gas and electricity",pos,4,2025-01,304,53
R. K.,FIVE,"Schnelle und freundliche Reaktion auf meinen Vertragsabschluß. Gute Information bei Vertragsbeginn. Wenn es so weitergeht ist alles ok. Der Einstieg jedenfalls äußerst positiv.

(Translated by Google)
Fast and friendly response to my contract conclusion. Good information at the start of the contract. If it continues like this everything will be ok. In any case, the start was extremely positive.",2025-01-09 18:50:58.440,"schnelle und freundliche reaktion auf meinen vertragsabschlu gute information bei vertragsbeginn wenn es so weitergeht ist alles ok der einstieg jedenfalls uerst positiv

translated by google
fast and friendly response to my contract conclusion good information at the start of the contract if it continues like this everything will be ok in any case the start was extremely positive",pos,5,2025-01,383,59
Gunther Heimel,FIVE,"Abgesehen von den sehr günstigen Tarifen habe ich bei einer Rückfrage zu einer Ökostrom-Bestätigung ohne lange suchen zu müssen auf der Website eine Telefonnummer gefunden :-D
Diese führte nicht in einen endlosen Dschungel von Weiterleitungen, unbenötigten digitalen Infos, ..... und auch nicht zu einer unmotivierten, kaum deutschkundigen Callcenter-Biene, sondern schnell und direkt zu einer ""echten"" sehr freundlichen und kompetenten Mitarbeiterin, die sich engagiert meiner Frage annahm. Eine äußerst wohltuende Erfahrung. Bitte weiter so 

(Translated by Google)
Aside from the very affordable rates, I found a phone number on the website when I had a query about a green electricity confirmation without having to search for long :-D
This didn't lead to an endless jungle of redirects, unnecessary digital information, etc., nor to an unmotivated call center operator who barely spoke German, but rather quickly and directly to a ""real"" very friendly and competent employee who enthusiastically addressed my question. An extremely pleasant experience. Please keep it up ",2025-01-03 15:18:59.570,"abgesehen von den sehr gnstigen tarifen habe ich bei einer rckfrage zu einer kostrombesttigung ohne lange suchen zu mssen auf der website eine telefonnummer gefunden d
diese fhrte nicht in einen endlosen dschungel von weiterleitungen unbentigten digitalen infos  und auch nicht zu einer unmotivierten kaum deutschkundigen callcenterbiene sondern schnell und direkt zu einer echten sehr freundlichen und kompetenten mitarbeiterin die sich engagiert meiner frage annahm eine uerst wohltuende erfahrung bitte weiter so 

translated by google
aside from the very affordable rates i found a phone number on the website when i had a query about a green electricity confirmation without having to search for long d
this didnt lead to an endless jungle of redirects unnecessary digital information etc nor to an unmotivated call center operator who barely spoke german but rather quickly and directly to a real very friendly and competent employee who enthusiastically addressed my question an extremely pleasant experience please keep it up ",pos,5,2025-01,1034,156
Clk,ONE,"Wir wollten intern Tarif wechseln. Antrag geschickt- Lt Telefonat bei Maxenergy alles erledigt- wurde aber leider nicht durchgeführt. Nach Urgenz jetzt sinngemäß folgendes Mail erhalten:„nichts Schrifliches bei uns- du hast Pech gehabt und musst den teureren Tarif zahlen“. Kundenfreundlich ist anders…. GSD gibt es günstigere Anbieter

(Translated by Google)
We wanted to change tariffs internally. Application sent - according to the phone call to Maxenergy everything was done - but unfortunately it was not carried out. After Urgenz, I received the following email: “Nothing in writing from us - you were unlucky and have to pay the more expensive tariff”. Customer-friendly is different... GSD there are cheaper providers",2025-01-03 11:54:25.693,"wir wollten intern tarif wechseln antrag geschickt lt telefonat bei maxenergy alles erledigt wurde aber leider nicht durchgefhrt nach urgenz jetzt sinngem folgendes mail erhaltennichts schrifliches bei uns du hast pech gehabt und musst den teureren tarif zahlen kundenfreundlich ist anders gsd gibt es gnstigere anbieter

translated by google
we wanted to change tariffs internally application sent  according to the phone call to maxenergy everything was done  but unfortunately it was not carried out after urgenz i received the following email nothing in writing from us  you were unlucky and have to pay the more expensive tariff customerfriendly is different gsd there are cheaper providers",neg,1,2025-01,695,105
Markus Lehner,ONE,"Netzgebühren sind hier nicht dabei. Diese werden einem dann von den netzanbietern in unbezahlbaren höhen vorgeschrieben und maxenergy sagt, dass sie das nichts angeht. Wir werden sofort wieder wechseln und nie mehr einen anbieter mit separaten netzgebüren nehmen. Bei uns wäre durch die hohen netzgebühren mehr zu zahlen gewesen als vor dem wechsel. Dann sollte auch noch 1 cent pro kwh mehr gezahlt werden wegen steuer, obwohl  fixpreis gelten würde.

(Translated by Google)
Network fees are not included here. These are then imposed by the network providers at unaffordable amounts, and maxenergy says it's none of their business. We will switch immediately and will never use a provider with separate network fees again. The high network fees would have meant paying more than before the switch. We also had to pay 1 cent per kWh more due to tax, even though the price was fixed.",2025-01-03 09:07:22.470,"netzgebhren sind hier nicht dabei diese werden einem dann von den netzanbietern in unbezahlbaren hhen vorgeschrieben und maxenergy sagt dass sie das nichts angeht wir werden sofort wieder wechseln und nie mehr einen anbieter mit separaten netzgebren nehmen bei uns wre durch die hohen netzgebhren mehr zu zahlen gewesen als vor dem wechsel dann sollte auch noch 1 cent pro kwh mehr gezahlt werden wegen steuer obwohl  fixpreis gelten wrde

translated by google
network fees are not included here these are then imposed by the network providers at unaffordable amounts and maxenergy says its none of their business we will switch immediately and will never use a provider with separate network fees again the high network fees would have meant paying more than before the switch we also had to pay 1 cent per kwh more due to tax even though the price was fixed",neg,1,2025-01,859,145
Gerhard Magister,FIVE,"Der Wechsel war unkomliziert und die Zusammenarbeit ist sehr verheißungsvoll!

(Translated by Google)
The change was uncomplicated and the collaboration is very promising!",2025-01-02 10:21:55.923,"der wechsel war unkomliziert und die zusammenarbeit ist sehr verheiungsvoll

translated by google
the change was uncomplicated and the collaboration is very promising",pos,5,2025-01,166,23
